rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
1905,1500,Technology,John Ocampo,63.0,United States,Los Altos,Semiconductors,Technology,United States,,True,U,M,4/5/1959 0:00,Ocampo,John,,28/07/2023,California,West,1960.0,4.0,5.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Diversified,Stefan Olsson,74.0,United Kingdom,London,Diversified,Diversified,Sweden,,False,U,M,1/1/1949 0:00,Olsson,Stefan,,01/10/2023,,,1949.0,1.0,1.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
1905,1500,Energy,Rubens Ometto Silveira Mello,73.0,Brazil,Sao Paulo,"Sugar, ethanol",Energy,Brazil,,False,D,M,1/1/1950 0:00,Ometto Silveira Mello,Rubens,,14/02/2023,,,1950.0,1.0,1.0,167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528
1905,1500,Finance & Investments,Anne Marie See Pastor,,,,Finance,Finance & Investments,Peru,,False,Split Family Fortune,F,,Pastor,Anne Marie See,,24/02/2023,,,,,,,,,,,,,,,,
1905,1500,Finance & Investments,George Pastor,,,,Finance,Finance & Investments,Peru,,False,Split Family Fortune,M,,Pastor,George,,13/02/2023,,,,,,,,,,,,,,,,
1905,1500,Finance & Investments,Nelson Peltz,80.0,United States,Bedford,Investments,Finance & Investments,United States,Trian Fund Management,True,D,M,6/1/1942 0:00,Peltz,Nelson,Founder,12/10/2023,New York,Northeast,1943.0,6.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Construction & Engineering,David Penaloza Alanis,49.0,Mexico,Mexico City,Toll roads,Construction & Engineering,Mexico,,False,U,M,1/1/1974 0:00,Penaloza Alanis,David,,15/09/2023,,,1974.0,1.0,1.0,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
1905,1500,Fashion & Retail,Karl-Johan Persson,48.0,Sweden,Stockholm,H&M,Fashion & Retail,Sweden,,False,E,M,3/25/1975 0:00,Persson,Karl-Johan,,23/05/2023,,,1975.0,3.0,25.0,110.51,1.8,"$530,832,908,738 ",67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501
1905,1500,Food & Beverage,Mike Repole,55.0,United States,Windermere,Sports drink,Food & Beverage,United States,,True,E,M,1/21/1968 0:00,Repole,Mike,,29/07/2023,Florida,South,1968.0,1.0,21.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Food & Beverage,Duke Reyes,66.0,United States,Palm Beach,Beer distribution,Food & Beverage,United States,,False,U,M,3/23/1957 0:00,Reyes,Duke,,12/10/2023,Florida,South,1957.0,3.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Real Estate,Kishin RK,39.0,Singapore,Singapore,"Real estate, hotels",Real Estate,Singapore,,False,Split Family Fortune,M,5/5/1983 0:00,RK,Kishin,,20/04/2023,,,1984.0,5.0,5.0,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
1905,1500,Finance & Investments,Carlos Rodriguez-Pastor,63.0,Peru,Lima,Finance,Finance & Investments,Peru,,False,Split Family Fortune,M,4/11/1959 0:00,Rodriguez-Pastor,Carlos,,10/04/2023,,,1960.0,4.0,11.0,129.78,2.1,"$226,848,050,820 ",70.7,106.9,76.5,14.3,36.8,32510453.0,-9.189967,-75.015152
1905,1500,Finance & Investments,Christopher Rokos,52.0,United Kingdom,London,Hedge fund,Finance & Investments,United Kingdom,Rokos Capital Management,True,E,M,9/21/1970 0:00,Rokos,Christopher,CEO & Founder ,13/04/2023,,,1971.0,9.0,21.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
1905,1500,Service,John Ruiz,56.0,United States,Coral Gables,Healthcare services,Service,United States,,True,N,M,1/7/1967 0:00,Ruiz,John,,10/02/2023,Florida,South,1967.0,1.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Technology,Sheryl Sandberg,53.0,United States,Menlo Park,Facebook,Technology,United States,Meta Platforms,True,D,F,8/28/1969 0:00,Sandberg,Sheryl,COO,23/06/2023,California,West,1970.0,8.0,28.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Automotive,Amnon Shashua,62.0,Israel,Kfar Shmaryahu,Automotive technology,Automotive,Israel,,True,E,M,5/26/1960 0:00,Shashua,Amnon,,01/02/2023,,,1961.0,5.0,26.0,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
1905,1500,Media & Entertainment,Ben Silbermann,40.0,United States,San Francisco,Social media,Media & Entertainment,United States,Pinterest,True,U,M,7/14/1982 0:00,Silbermann,Ben,Cofounder,26/01/2023,California,West,1983.0,7.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Fashion & Retail,Ron Sim,64.0,Singapore,Singapore,retail,Fashion & Retail,Singapore,,True,U,M,12/1/1958 0:00,Sim,Ron,,16/08/2023,,,1959.0,12.0,1.0,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
1905,1500,Finance & Investments,Leonid Simanovsky,73.0,Russia,Moscow,Investments,Finance & Investments,Russia,,True,R,M,7/19/1949 0:00,Simanovsky,Leonid,,09/08/2023,,,1950.0,7.0,19.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
1905,1500,Healthcare,Basudeo Singh,82.0,India,Mumbai,Pharmaceuticals,Healthcare,India,,True,D,M,11/20/1940 0:00,Singh,Basudeo,,25/06/2023,,,1941.0,11.0,20.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1905,1500,Technology,Frank Slootman,64.0,United States,Pleasanton,Software,Technology,United States,,True,D,M,10/3/1958 0:00,Slootman,Frank,,15/09/2023,California,West,1959.0,10.0,3.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Real Estate,Terry Snow,79.0,Australia,Canberra,"Airports, real estate",Real Estate,Australia,,True,U,M,12/23/1943 0:00,Snow,Terry,,01/09/2023,,,1944.0,12.0,23.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
1905,1500,Real Estate,Axel Stawski,72.0,United States,Sagaponack,Real estate,Real Estate,United States,,True,U,M,11/14/1950 0:00,Stawski,Axel,,16/01/2023,New York,Northeast,1951.0,11.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Finance & Investments,Thomas Steyer,65.0,United States,San Francisco,Hedge funds,Finance & Investments,United States,,True,E,M,6/27/1957 0:00,Steyer,Thomas,,23/08/2023,California,West,1958.0,6.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Fashion & Retail,Sergei Studennikov & family,56.0,Russia,Moscow,"Liquor stores, supermarkets",Fashion & Retail,Russia,,True,R,M,3/24/1967 0:00,Studennikov,Sergei,,09/10/2023,,,1967.0,3.0,24.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
1905,1500,Real Estate,Su Suyu & family,74.0,China,Shantou,"Utilities, real estate",Real Estate,China,,True,D,F,11/24/1948 0:00,Su,Suyu,,22/09/2023,,,1949.0,11.0,24.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Technology,Kevin Systrom,39.0,United States,San Francisco,Instagram,Technology,United States,Instagram,True,E,M,12/30/1983 0:00,Systrom,Kevin,Cofounder,29/03/2023,California,West,1984.0,12.0,30.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Food & Beverage,Tan Lili,,China,Guangzhou,Feed,Food & Beverage,China,,True,D,F,,Tan,Lili,,21/06/2023,,,,,,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Food & Beverage,Tang Binsen,40.0,China,Beijing,Beverages,Food & Beverage,China,,True,E,M,12/12/1982 0:00,Tang,Binsen,,06/02/2023,,,1983.0,12.0,12.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Technology,Tang Rui,,China,Shanghai,Semiconductors,Technology,China,,True,N,M,,Tang,Rui,,03/01/2023,,,,,,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Manufacturing,Prachak Tangkaravakoon,79.0,Thailand,Bangkok,Paints,Manufacturing,Thailand,,True,U,M,3/26/1944 0:00,Tangkaravakoon,Prachak,,21/01/2023,,,1944.0,3.0,26.0,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
1905,1500,Healthcare,Jeff Tangney,50.0,United States,Palo Alto,Healthcare IT,Healthcare,United States,Doximity,True,D,M,8/9/1972 0:00,Tangney,Jeff,CEO,07/02/2023,California,West,1973.0,8.0,9.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Fashion & Retail,Yuequn Tao,63.0,China ,Hefei,Contact Lens,Fashion & Retail,China,,True,D,M,1/1/1960 0:00,Tao,Yuequn,,17/09/2023,,,1960.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Telecom,David Teoh,67.0,Australia,Sydney,Telecom,Telecom,Australia,,True,D,M,1/1/1956 0:00,Teoh,David,,29/03/2023,,,1956.0,1.0,1.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
1905,1500,Manufacturing,Carmen Thyssen,79.0,Andorra,,"Investments, art",Manufacturing,Spain,,False,U,F,4/23/1943 0:00,Thyssen,Carmen,,08/09/2023,,,1944.0,4.0,23.0,,,"$3,154,057,987 ",,106.4,,,,77142.0,42.506285,1.521801
1905,1500,Automotive,Tran Ba Duong & family,63.0,Vietnam,Ho Chi Minh City,Automotive,Automotive,Vietnam,,True,D,M,4/1/1960 0:00,Tran,Ba Duong,,21/03/2023,,,1960.0,4.0,1.0,163.52,2.8,"$261,921,244,843 ",28.5,110.6,75.3,19.1,37.6,96462106.0,14.058324,108.277199
1905,1500,Telecom,Kenny Troutt,75.0,United States,Dallas,Telecom,Telecom,United States,,True,E,M,1/8/1948 0:00,Troutt,Kenny,,24/02/2023,Texas,South,1948.0,1.0,8.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Gambling & Casinos,Jens von Bahr,52.0,Sweden,Stockholm,Gambling products,Gambling & Casinos,Sweden,,True,U,M,2/22/1971 0:00,von Bahr,Jens,,03/06/2023,,,1971.0,2.0,22.0,110.51,1.8,"$530,832,908,738 ",67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501
1905,1500,Healthcare,Wang Junmin,54.0,China,Chengdu,Pharmaceuticals,Healthcare,China,,True,U,M,12/12/1968 0:00,Wang,Junmin,,14/09/2023,,,1969.0,12.0,12.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Healthcare,Weng Xianding,61.0,China,Shenzhen,Medical devices,Healthcare,China,,True,U,M,11/28/1961 0:00,Weng,Xianding,,05/02/2023,,,1962.0,11.0,28.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Energy,Farris Wilks,71.0,United States,Cisco,Natural gas,Energy,United States,,True,U,M,2/9/1952 0:00,Wilks,Farris,,11/04/2023,Texas,South,1952.0,2.0,9.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1905,1500,Real Estate,Gordon Wu,87.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,True,D,M,12/3/1935 0:00,Wu,Gordon,,22/01/2023,,,1936.0,12.0,3.0,,,,,,,,,,,
1905,1500,Technology,Xiong Wu,47.0,China,Shenzhen,Software,Technology,China,,True,E,M,1/1/1976 0:00,Xiong,Wu,,27/05/2023,,,1976.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Media & Entertainment,Xu Zhenhua,,China,Shanghai,Online games,Media & Entertainment,China,,True,E,M,,Xu,Zhenhua,,19/01/2023,,,,,,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Technology,Xu Zhihan,50.0,China,Wuxi,Electronics,Technology,China,,True,D,M,11/30/1972 0:00,Xu,Zhihan,,14/03/2023,,,1973.0,11.0,30.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Food & Beverage,Tingdong Yang,62.0,China,Suqian,Brewery,Food & Beverage,China,,True,D,M,5/20/1960 0:00,Yang,Tingdong,,28/04/2023,,,1961.0,5.0,20.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Service,Michael Minhong Yu,61.0,China,Beijing,Education,Service,China,,True,R,M,1/1/1962 0:00,Yu,Michael Minhong,,18/10/2023,,,1962.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Media & Entertainment,Justin Yuan,,China,Shanghai,Online games,Media & Entertainment,China,,True,E,M,,Yuan,Justin,,25/06/2023,,,,,,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Service,Zhang Bangxin,43.0,China,Beijing,Education,Service,China,,True,R,M,1/1/1980 0:00,Zhang,Bangxin,,07/09/2023,,,1980.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Energy,Zhang Hong,,China,Hangzhou,Solar,Energy,China,,True,Split Family Fortune,F,,Zhang,Hong,,12/03/2023,,,,,,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1905,1500,Fashion & Retail,Zhou Zongwen & family,66.0,China,Shenzhen,Jewelry,Fashion & Retail,China,,True,D,M,3/1/1957 0:00,Zhou,Zongwen,,05/09/2023,,,1957.0,3.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
2020,1400,Diversified,Antti Aarnio-Wihuri,83.0,Finland,Helsinki,Diversified,Diversified,Finland,,False,D,M,2/24/1940 0:00,Aarnio-Wihuri,Antti,,02/06/2023,,,1940.0,2.0,24.0,112.33,1.0,"$268,761,201,365 ",88.2,100.2,81.7,20.8,36.6,5520314.0,61.92411,25.748151
2020,1400,Finance & Investments,Alberto Alcocer,80.0,Spain,Madrid,Investments,Finance & Investments,Spain,,True,U,M,12/7/1942 0:00,Alcocer,Alberto,,01/01/2023,,,1943.0,12.0,7.0,110.96,0.7,"$1,394,116,310,769 ",88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
2020,1400,Fashion & Retail,Nigel Austin,52.0,Australia,Melbourne,Retail,Fashion & Retail,Australia,,True,D,M,9/25/1970 0:00,Austin,Nigel,,10/01/2023,,,1971.0,9.0,25.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
2020,1400,Technology,Binny Bansal,40.0,Singapore,Singapore,Flipkart,Technology,India,,True,U,M,12/3/1982 0:00,Bansal,Binny,,13/06/2023,,,1983.0,12.0,3.0,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
2020,1400,Healthcare,Girdhari Lal Bawri,75.0,India,Mumbai,Pharmaceuticals,Healthcare,India,,True,D,M,8/3/1947 0:00,Bawri,Girdhari Lal,,22/08/2023,,,1948.0,8.0,3.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
2020,1400,Diversified,John Bloor,79.0,United Kingdom,Aberdyfi,"Real estate, manufacturing",Diversified,United Kingdom,,True,D,M,6/16/1943 0:00,Bloor,John,,06/09/2023,,,1944.0,6.0,16.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
2020,1400,Energy,Vladimir Bogdanov,71.0,Russia,Surgut,Oil,Energy,Russia,,True,R,M,5/28/1951 0:00,Bogdanov,Vladimir,,11/08/2023,,,1952.0,5.0,28.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
2020,1400,Food & Beverage,Amit Burman,53.0,India,Delhi,Consumer goods,Food & Beverage,India,,False,D,M,7/1/1969 0:00,Burman,Amit,,20/06/2023,,,1970.0,7.0,1.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
2020,1400,Metals & Mining,Cai Jianyong,52.0,China,Ningbo,Nickel,Metals & Mining,China,,True,N,M,1/1/1971 0:00,Cai ,Jianyong,,08/01/2023,,,1971.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
2020,1400,Technology,Steve Case,64.0,United States,McLean,AOL,Technology,United States,,True,D,M,8/21/1958 0:00,Case,Steve,,24/07/2023,Virginia,South,1959.0,8.0,21.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
2020,1400,Technology,Chen Wenyuan & family,55.0,China,Suzhou,Testing equipment,Technology,China,,True,E,M,1/1/1968 0:00,Chen,Wenyuan,,21/05/2023,,,1968.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
2020,1400,Real Estate,Chua Thian Poh,74.0,Singapore,Singapore,Real estate,Real Estate,Singapore,,True,U,M,7/11/1948 0:00,Chua,Thian Poh,,26/09/2023,,,1949.0,7.0,11.0,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
2020,1400,Finance & Investments,Sasson Dayan & family,83.0,Brazil,Sao Paulo,Banking,Finance & Investments,Brazil,,True,U,M,4/1/1940 0:00,Dayan,Sasson,,06/03/2023,,,1940.0,4.0,1.0,167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528
2020,1400,Metals & Mining,Chris Ellison,65.0,Australia,Perth,Mining,Metals & Mining,Australia,,True,N,M,6/26/1957 0:00,Ellison,Chris,,17/06/2023,,,1958.0,6.0,26.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
2020,1400,Manufacturing,John Farber,97.0,United States,New York,Chemicals,Manufacturing,United States,,True,D,M,8/23/1925 0:00,Farber,John,Dr.,09/06/2023,New York,Northeast,1926.0,8.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
2020,1400,Finance & Investments,J. Christopher Flowers,65.0,United States,Palm Beach,Investments,Finance & Investments,United States,J.C. Flowers & Co. LLC,True,U,M,10/27/1957 0:00,Flowers,J. Christopher,Founder and Managing Director,16/07/2023,Florida,South,1958.0,10.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
2020,1400,Fashion & Retail,Reinold Geiger,75.0,Switzerland,Geneva,Beauty products,Fashion & Retail,Austria,,True,D,M,7/10/1947 0:00,Geiger,Reinold,,09/08/2023,,,1948.0,7.0,10.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
2020,1400,Technology,Ali Ghodsi,44.0,United States,San Francisco,Data analytics,Technology,Sweden,,True,D,M,12/8/1978 0:00,Ghodsi,Ali,,08/08/2023,California,West,1979.0,12.0,8.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
2020,1400,Diversified,Lance Gokongwei,55.0,Philippines,Manila,Diversified,Diversified,Philippines,,False,D,M,12/1/1967 0:00,Gokongwei,Lance,,19/08/2023,,,1968.0,12.0,1.0,129.61,2.5,"$376,795,508,680 ",35.5,107.5,71.1,14.0,43.1,108116615.0,12.879721,121.774017
2020,1400,Food & Beverage,Guan Yihong,53.0,China,Guangzhou,Restaurant,Food & Beverage,China,,True,U,M,,Guan,Yihong,,04/05/2023,,,,,,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
2020,1400,Manufacturing,Rajinder Gupta,64.0,India,Ludhiana,"Textiles, paper",Manufacturing,India,,True,D,M,1/2/1959 0:00,Gupta,Rajinder,,22/02/2023,,,1959.0,1.0,2.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
2020,1400,Service,Torstein Hagen,80.0,Switzerland,Lucerne,Cruises,Service,Norway,,True,D,M,2/18/1943 0:00,Hagen,Torstein,,19/08/2023,,,1943.0,2.0,18.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
2020,1400,Construction & Engineering,Ayman Hariri,44.0,France,Paris,"Construction, investments",Construction & Engineering,Lebanon,,False,E,M,5/16/1978 0:00,Hariri,Ayman,,02/07/2023,,,1979.0,5.0,16.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
2020,1400,Finance & Investments,Alfredo Harp Helu & family,79.0,Mexico,Mexico City,"Banking, investments",Finance & Investments,Mexico,,True,U,M,3/11/1944 0:00,Harp Helu,Alfredo,,12/10/2023,,,1944.0,3.0,11.0,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
2020,1400,Automotive,He Xiaopeng,45.0,China,Guangzhou,Electric vehicles,Automotive,China,,True,D,M,11/3/1977 0:00,He,Xiaopeng,,15/09/2023,,,1978.0,11.0,3.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
2020,1400,Fashion & Retail,Christoph Henkel,65.0,United Kingdom,London,Consumer goods,Fashion & Retail,Germany,,False,E,M,2/11/1958 0:00,Henkel,Christoph,,19/06/2023,,,1958.0,2.0,11.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
2020,1400,Fashion & Retail,Daniel Hirschfeld,81.0,United States,Kearney,Fashion retail,Fashion & Retail,United States,,False,E,M,5/31/1941 0:00,Hirschfeld,Daniel,,17/04/2023,Nebraska,Midwest,1942.0,5.0,31.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
2020,1400,Technology,Drew Houston,40.0,United States,Austin,Cloud storage service,Technology,United States,Dropbox,True,D,M,3/4/1983 0:00,Houston,Drew,CEO,17/02/2023,Texas,South,1983.0,3.0,4.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
2020,1400,Manufacturing,Huang Jinxiang & family,58.0,China,Xuancheng,Chemicals,Manufacturing,China,,True,U,M,1/27/1965 0:00,Huang,Jinxiang,,26/07/2023,,,1965.0,1.0,27.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
2020,1400,Manufacturing,Rameshchandra Jain,74.0,India,Mumbai,Textiles,Manufacturing,India,,True,U,M,6/22/1948 0:00,Jain,Rameshchandra,,05/05/2023,,,1949.0,6.0,22.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
2020,1400,Healthcare,Ke Zunhong & family,68.0,China,Chengdu,Pharmaceuticals,Healthcare,China,,True,D,M,7/1/1954 0:00,Ke,Zunhong,,26/01/2023,,,1955.0,7.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
2020,1400,Media & Entertainment,Kim Taek-jin,56.0,South Korea,Seoul,Online games,Media & Entertainment,South Korea,NCSOFT Corporation,True,D,M,3/14/1967 0:00,Kim,Taek-jin,,20/03/2023,,,1967.0,3.0,14.0,115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,15.6,33.2,51709098.0,35.907757,127.766922
2020,1400,Real Estate,Koh Wee Meng,59.0,Singapore,Singapore,"Real estate, hotels",Real Estate,Singapore,,True,U,M,7/1/1963 0:00,Koh,Wee Meng,,03/08/2023,,,1964.0,7.0,1.0,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
2020,1400,Manufacturing,Sergei Kolesnikov,51.0,Russia,Moscow,Building materials,Manufacturing,Russia,,True,U,M,2/25/1972 0:00,Kolesnikov,Sergei,,20/06/2023,,,1972.0,2.0,25.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
2020,1400,Finance & Investments,Hemendra Kothari,76.0,India,Mumbai,Financial services,Finance & Investments,India,,False,D,M,8/26/1946 0:00,Kothari,Hemendra,,08/05/2023,,,1947.0,8.0,26.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
